date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:42	260785/260785	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2008:28:35%20GMT	https://pubitygroup.com/	C:/My%20Web%20Sites/pubity/pubitygroup.com/index.html	(from )
13:58:42	99/99	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2007%20Oct%202023%2008:28:35%20GMT	https://pubitygroup.com/robots.txt		(from )
13:58:43	755/755	---MC-	200	added ('OK')	application/rss+xml	etag:%22399537ba0a30e382db620c855b6f06e3%22	https://pubitygroup.com/comments/feed/	C:/My%20Web%20Sites/pubity/pubitygroup.com/comments/feed/index.html	(from https://pubitygroup.com/)
13:58:43	95573/95573	---MCZ	200	added ('OK')	text/css	etag:W/%2217555-5fab4c7945e40%22	https://pubitygroup.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.15.1	C:/My%20Web%20Sites/pubity/pubitygroup.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit5829.css	(from https://pubitygroup.com/)
13:58:43	14551/14551	---MC-	200	added ('OK')	application/rss+xml	etag:%22399537ba0a30e382db620c855b6f06e3%22	https://pubitygroup.com/feed/	C:/My%20Web%20Sites/pubity/pubitygroup.com/feed/index.html	(from https://pubitygroup.com/)
13:58:43	39559/39559	---MCZ	200	added ('OK')	text/css	etag:W/%229a87-5fab4c7a3a080%22	https://pubitygroup.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=6.15.5	C:/My%20Web%20Sites/pubity/pubitygroup.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper7bd9.css	(from https://pubitygroup.com/)
13:58:43	104484/104484	---MCZ	200	added ('OK')	text/css	etag:W/%2219824-6027858f4b78c%22	https://pubitygroup.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/pubity/pubitygroup.com/wp-includes/css/dist/block-library/style.min9b30.css	(from https://pubitygroup.com/)
13:58:44	134897/134897	---MCZ	200	added ('OK')	text/css	etag:W/%2220ef1-6028cee18c6c2%22	https://pubitygroup.com/wp-content/plugins/clients-tabs/assets/css/foundation.min.css?ver=6.3.1	C:/My%20Web%20Sites/pubity/pubitygroup.com/wp-content/plugins/clients-tabs/assets/css/foundation.min9b30.css	(from https://pubitygroup.com/)
13:58:44	2436/2436	---MCZ	200	added ('OK')	text/css	etag:W/%22984-6029fddbf9725%22	https://pubitygroup.com/wp-content/plugins/clients-tabs/assets/css/style.css?ver=6.3.1	C:/My%20Web%20Sites/pubity/pubitygroup.com/wp-content/plugins/clients-tabs/assets/css/style9b30.css	(from https://pubitygroup.com/)
13:58:45	6969/6969	---MCZ	200	added ('OK')	text/css	etag:W/%221b39-5f7cea67bad00%22	https://pubitygroup.com/wp-content/plugins/qi-addons-for-elementor-premium/assets/css/helper-parts.min.css?ver=6.3.1	C:/My%20Web%20Sites/pubity/pubitygroup.com/wp-content/plugins/qi-addons-for-elementor-premium/assets/css/helper-parts.min9b30.css	(from https://pubitygroup.com/)
